full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
affaan-m/everything-claude-code,167985,167985,26027,118,118,15,https://github.com/affaan-m/everything-claude-code
shareAI-lab/learn-claude-code,56858,56858,9352,52,52,6,https://github.com/shareAI-lab/learn-claude-code
ChinaSiro/claude-code-sourcemap,9032,9032,14563,2,2,1,https://github.com/ChinaSiro/claude-code-sourcemap
pengchengneo/Claude-Code,1257,1257,2240,4,4,4,https://github.com/pengchengneo/Claude-Code
hesreallyhim/awesome-claude-code,41411,41411,3475,36,36,1,https://github.com/hesreallyhim/awesome-claude-code
shanraisshan/claude-code-best-practice,48474,48474,4784,66,66,8,https://github.com/shanraisshan/claude-code-best-practice
musistudio/claude-code-router,33031,33031,2646,8,8,0,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,25612,25612,2563,11,11,4,https://github.com/davila7/claude-code-templates
LING71671/Open-ClaudeCode,784,784,1132,1,1,-1,https://github.com/LING71671/Open-ClaudeCode
Alishahryar1/free-claude-code,14953,14953,2080,423,423,48,https://github.com/Alishahryar1/free-claude-code
oboard/claude-code-rev,3068,3068,3770,0,0,1,https://github.com/oboard/claude-code-rev
Donchitos/Claude-Code-Game-Studios,16323,16323,2363,27,27,5,https://github.com/Donchitos/Claude-Code-Game-Studios
ponponon/claude_code_src,2198,2198,3488,3,3,0,https://github.com/ponponon/claude_code_src
VoltAgent/awesome-claude-code-subagents,18506,18506,2124,20,20,2,https://github.com/VoltAgent/awesome-claude-code-subagents
anthropics/claude-code-action,7306,7306,1760,2,2,0,https://github.com/anthropics/claude-code-action
Piebald-AI/claude-code-system-prompts,9572,9572,1705,7,7,3,https://github.com/Piebald-AI/claude-code-system-prompts
diet103/claude-code-infrastructure-showcase,9573,9573,1217,0,0,0,https://github.com/diet103/claude-code-infrastructure-showcase
liuup/claude-code-analysis,2034,2034,1462,10,10,3,https://github.com/liuup/claude-code-analysis
frankbria/ralph-claude-code,8871,8871,662,3,3,0,https://github.com/frankbria/ralph-claude-code
hangsman/claude-code-source,761,761,1744,0,0,0,https://github.com/hangsman/claude-code-source
ykdojo/claude-code-tips,7961,7961,581,0,0,0,https://github.com/ykdojo/claude-code-tips
chauncygu/collection-claude-code-source-code,2284,2284,2232,7,7,0,https://github.com/chauncygu/collection-claude-code-source-code
pedrohcgs/claude-code-my-workflow,993,993,2025,0,0,1,https://github.com/pedrohcgs/claude-code-my-workflow
ChrisWiles/claude-code-showcase,5848,5848,542,1,1,0,https://github.com/ChrisWiles/claude-code-showcase
lintsinghua/claude-code-book,2975,2975,676,4,4,0,https://github.com/lintsinghua/claude-code-book
huangserva/claude-code-cli,565,565,1297,0,0,0,https://github.com/huangserva/claude-code-cli
OneRedOak/claude-code-workflows,3786,3786,554,0,0,0,https://github.com/OneRedOak/claude-code-workflows
1rgs/claude-code-proxy,3491,3491,457,3,3,0,https://github.com/1rgs/claude-code-proxy
zebbern/claude-code-guide,4045,4045,394,0,0,0,https://github.com/zebbern/claude-code-guide
anthropics/skills,124564,124564,14580,88,88,10,https://github.com/anthropics/skills
lorryjovens-hub/claude-code-rust,1478,1478,600,2,2,0,https://github.com/lorryjovens-hub/claude-code-rust
777genius/claude-code-source-code,901,901,1115,0,0,0,https://github.com/777genius/claude-code-source-code
disler/claude-code-hooks-mastery,3581,3581,601,3,3,1,https://github.com/disler/claude-code-hooks-mastery
FlorianBruniaux/claude-code-ultimate-guide,3968,3968,533,4,4,0,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
nicedreamzapp/claude-code-local,2259,2259,442,9,9,3,https://github.com/nicedreamzapp/claude-code-local
Maciek-roboblog/Claude-Code-Usage-Monitor,7802,7802,390,2,2,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
sickn33/antigravity-awesome-skills,35303,35303,5807,25,25,4,https://github.com/sickn33/antigravity-awesome-skills
zstmfhy/Claude-code,190,190,285,0,0,0,https://github.com/zstmfhy/Claude-code
forrestchang/andrej-karpathy-skills,92255,92255,8852,509,509,56,https://github.com/forrestchang/andrej-karpathy-skills
kodu-ai/claude-coder,5278,5278,199,0,0,0,https://github.com/kodu-ai/claude-coder
Yuyz0112/claude-code-reverse,2356,2356,403,0,0,0,https://github.com/Yuyz0112/claude-code-reverse
wanshuiyin/Auto-claude-code-research-in-sleep,7595,7595,721,20,20,4,https://github.com/wanshuiyin/Auto-claude-code-research-in-sleep
RichardAtCT/claude-code-telegram,2499,2499,354,0,0,0,https://github.com/RichardAtCT/claude-code-telegram
anthropics/claude-code-security-review,4393,4393,403,0,0,0,https://github.com/anthropics/claude-code-security-review
fuergaosi233/claude-code-proxy,2506,2506,357,2,2,1,https://github.com/fuergaosi233/claude-code-proxy
Windy3f3f3f3f/how-claude-code-works,2025,2025,526,2,2,0,https://github.com/Windy3f3f3f3f/how-claude-code-works
alejandrobalderas/claude-code-from-source,1807,1807,559,5,5,0,https://github.com/alejandrobalderas/claude-code-from-source
ding113/claude-code-hub,2667,2667,298,1,1,0,https://github.com/ding113/claude-code-hub
Cranot/claude-code-guide,2631,2631,289,0,0,0,https://github.com/Cranot/claude-code-guide
fazxes/Claude-code,211,211,209,0,0,0,https://github.com/fazxes/Claude-code
AprilNEA/claude-code-source,373,373,611,0,0,0,https://github.com/AprilNEA/claude-code-source
luyao618/Claude-Code-Source-Study,1247,1247,484,5,5,1,https://github.com/luyao618/Claude-Code-Source-Study
luongnv89/claude-howto,29321,29321,3601,48,48,7,https://github.com/luongnv89/claude-howto
anthropics/claude-code-base-action,802,802,601,0,0,0,https://github.com/anthropics/claude-code-base-action
rohitg00/awesome-claude-code-toolkit,1447,1447,440,2,2,0,https://github.com/rohitg00/awesome-claude-code-toolkit
repowise-dev/claude-code-prompts,972,972,361,0,0,0,https://github.com/repowise-dev/claude-code-prompts
qwibitai/nanoclaw,28189,28189,12663,20,20,0,https://github.com/qwibitai/nanoclaw
https-deeplearning-ai/sc-claude-code-files,497,497,691,1,1,0,https://github.com/https-deeplearning-ai/sc-claude-code-files
edmund-io/edmunds-claude-code,1408,1408,283,0,0,0,https://github.com/edmund-io/edmunds-claude-code
JrCx7scC/claude-code-source,361,361,536,0,0,0,https://github.com/JrCx7scC/claude-code-source
alirezarezvani/claude-skills,12874,12874,1701,16,16,3,https://github.com/alirezarezvani/claude-skills
bfly123/claude_code_bridge,2368,2368,227,4,4,0,https://github.com/bfly123/claude_code_bridge
guanshan/ClaudeCode,56,56,215,0,0,0,https://github.com/guanshan/ClaudeCode
router-for-me/CLIProxyAPI,29097,29097,4834,50,50,10,https://github.com/router-for-me/CLIProxyAPI
snarktank/ralph,17906,17906,1773,11,11,1,https://github.com/snarktank/ralph
Yeachan-Heo/oh-my-claudecode,31518,31518,2917,29,29,2,https://github.com/Yeachan-Heo/oh-my-claudecode
Pimzino/claude-code-spec-workflow,3696,3696,259,0,0,0,https://github.com/Pimzino/claude-code-spec-workflow
AICoderTudou/claude-code-tudou,496,496,396,0,0,0,https://github.com/AICoderTudou/claude-code-tudou
KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh,3526,3526,681,5,5,2,https://github.com/KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh
anthropics/claude-plugins-official,18000,18000,2158,13,13,4,https://github.com/anthropics/claude-plugins-official
wshobson/agents,34389,34389,3723,8,8,0,https://github.com/wshobson/agents
carlvellotti/claude-code-pm-course,1923,1923,299,-1,-1,0,https://github.com/carlvellotti/claude-code-pm-course
ghuntley/claude-code-source-code-deobfuscation,973,973,554,0,0,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
eyaltoledano/claude-task-master,26874,26874,2508,3,3,1,https://github.com/eyaltoledano/claude-task-master
andrew-kramer-inno/claude-code-source-build,581,581,517,0,0,0,https://github.com/andrew-kramer-inno/claude-code-source-build
feiskyer/claude-code-settings,1471,1471,218,1,1,0,https://github.com/feiskyer/claude-code-settings
sugyan/claude-code-webui,1055,1055,243,0,0,0,https://github.com/sugyan/claude-code-webui
Windy3f3f3f3f/claude-code-from-scratch,1018,1018,340,3,3,0,https://github.com/Windy3f3f3f3f/claude-code-from-scratch
farion1231/cc-switch,52449,52449,3391,175,175,12,https://github.com/farion1231/cc-switch
slopus/happy,19247,19247,1594,8,8,0,https://github.com/slopus/happy
Hyper66666/claude-code-sourcemap,213,213,459,0,0,0,https://github.com/Hyper66666/claude-code-sourcemap
garrytan/gstack,84708,84708,12375,160,160,27,https://github.com/garrytan/gstack
darcyegb/ClaudeCodeAgents,675,675,60,1,1,0,https://github.com/darcyegb/ClaudeCodeAgents
